DATA,Alm FI RF,BB FMP FGTS Vale Migracao,Bradesco FI RF Ref DI Premium,Bradesco H FI RF LP Precos,Capstone Macro I FICFI Mult,FI Caixa Brasil Ima B Tp RF LP,FI Mult Tannat,FICFI em Acoes Valor,Icatu Multigestores Acoes Fc de FIA,Ioda Fc de FIA,Kinea Arkhe Pvt Fc Mult,Santander Agressivo Mult Fc FI,Sulamerica Pajucara FICFI Mult,Verde Am Strategy II Master FIA,Vexty Sul America FI RF
2013-01-02,,10.504436717,6.224631,1.8478848,,1.635966,,104.7120822,1.05953791,137.4823048,17.629808,315.8505151,7.31642265,2.4063827,1.2290426
2013-01-03,,10.325852413,6.226315,1.8577829,,1.645056,,105.1662827,1.06847045,138.42589428,17.644715,318.0877848,7.3360697,2.4288616,1.2294395
2013-01-04,,10.130670274,6.2280371,1.8598649,,1.648037,,104.7044983,1.06395748,138.36610394,17.680248,317.5014601,7.33409166,2.4086549,1.2299681
2013-01-07,,9.966376987,6.2298505,1.8615118,,1.648785,,104.1543681,1.05757792,138.08066402,17.680299,316.5128507,7.33305965,2.3845534,1.2299495
2013-01-08,,9.887502792,6.2314222,1.8544702,,1.644383,,103.569656,1.05453639,137.58468932,17.68609,315.2649233,7.32558051,2.3629253,1.2304658
2013-01-09,,9.931968588,6.2331888,1.8603368,,1.649514,,104.3608036,1.06084926,137.78153175,17.693704,316.5467519,7.33561477,2.3776014,1.2302509
2013-01-10,,10.035746639,6.2348562,1.8685938,,1.653133,,104.1156491,1.05842121,137.57513202,17.713701,316.7055849,7.33735535,2.3726522,1.2308544
2013-01-11,,9.829162559,6.2365443,1.869791,,1.65638,,104.1202475,1.05398635,137.86789941,17.698827,316.5510189,7.33814637,2.3702166,1.2312618
2013-01-14,,9.866391406,6.2381632,1.8722145,,1.657713,,104.0110689,1.05815344,138.26115555,17.707736,317.3520041,7.34589343,2.3854558,1.2316572
2013-01-15,,9.801850087,6.2398155,1.8718959,,1.658048,,103.4404818,1.04809821,137.96651335,17.714026,316.7205902,7.34318848,2.3742804,1.2320504
2013-01-16,,9.739666678,6.2415223,1.8724135,,1.659868,,103.6883042,1.04779297,137.72011578,17.716524,317.3443488,7.34635738,2.3707548,1.2322524
2013-01-17,,9.757984324,6.2435311,1.8642373,,1.655964,,104.4775635,1.05636081,138.52203935,17.77136,317.9827767,7.34888831,2.3874798,1.2326646
2013-01-18,,9.669773883,6.2452444,1.8596285,,1.651945,,104.2606672,1.05725104,138.22344264,17.772336,317.3941413,7.34325113,2.3778631,1.2326283
2013-01-21,,9.662005509,6.2469759,1.8711791,,1.660584,,104.4529436,1.06094857,138.56175758,17.759302,317.591738,7.3518883,2.3795985,1.2329363
2013-01-22,,9.79633246,6.2485557,1.8690834,,1.659719,,104.4227864,1.0591612,138.68672737,17.788515,317.6512327,7.35098643,2.3821983,1.2334923
2013-01-23,,9.724724309,6.2502898,1.8733566,,1.663331,,104.5325785,1.0596704,138.75391484,17.786648,317.935458,7.35853699,2.3829726,1.2337145
2013-01-24,,9.522936097,6.2519383,1.8577849,,1.652788,,103.8217145,1.05262386,138.84211438,17.813425,316.367891,7.34448356,2.3738892,1.2340948
2013-01-25,,9.522352652,6.2536119,1.8585248,,1.653626,,103.8200913,1.0527693,138.84662034,17.813776,316.4508949,7.34627729,2.3739373,1.23408
2013-01-28,,9.235364272,6.2553657,1.8536844,,1.649664,,103.186238,1.04140403,138.43690781,17.821071,314.2679447,7.34091573,2.3489323,1.2344526
2013-01-29,,9.341311781,6.2569972,1.8539863,,1.64893,,103.5920061,1.04489866,138.84051141,17.859308,314.7902519,7.35110816,2.3634476,1.2348874
2013-01-30,,9.224756302,6.2586252,1.8479011,,1.644197,,103.046275,1.03844102,138.79344407,17.860535,312.7732375,7.35110816,2.3401305,1.2354592
2013-01-31,,9.581603991,6.2603783,1.8416104,,1.639273,,104.0129015,1.05332684,139.41867544,17.861522,313.4907183,7.34394909,2.3645728,1.2354147
2013-02-01,,9.7206759,6.2620957,1.8390188,,1.63777,,104.6374212,1.06177651,139.9630449,17.889384,314.0999797,7.35137804,2.3890926,1.2355385
2013-02-04,,9.625350675,6.2637445,1.8329741,,1.631669,,104.3445221,1.05557835,139.76975632,17.876332,312.6819617,7.34174105,2.3655161,1.2357613
2013-02-05,,9.447146563,6.2655798,1.8214659,,1.622892,,104.5972527,1.06272577,140.27723008,17.898456,311.3984765,7.33261193,2.3767262,1.2359588
2013-02-06,,9.553126739,6.2673727,1.8130914,,1.617335,,104.2986335,1.05359496,139.49108634,17.89828,310.4307675,7.32480684,2.3647255,1.2358836
2013-02-07,,9.287306207,6.2690873,1.8048166,,1.608467,,103.8248829,1.04985492,139.69730248,17.891606,308.9261406,7.31835149,2.3507812,1.236001
2013-02-08,,9.360141592,6.270938,1.7972709,,1.605528,,103.6956287,1.04761155,139.785454,17.883067,309.020586,7.31900746,2.3538574,1.2359392
2013-02-13,,9.30509881,6.2727566,1.7998461,,1.606997,,103.5525902,1.0441236,139.25234861,17.907929,309.0328723,7.32100641,2.3517871,1.2364102
2013-02-14,,9.17901545,6.274612,1.8003555,,1.607389,,103.4212823,1.04025609,139.19868309,17.907336,308.4547442,7.32186073,2.3413163,1.2369138
2013-02-15,,9.112124534,6.2762143,1.8034385,,1.612932,,103.4199282,1.0453651,140.23605799,17.888845,308.9804845,7.32955485,2.3489534,1.2371898
2013-02-18,,9.049895804,6.2779663,1.802117,,1.610503,,103.2290533,1.04365669,140.7199406,17.893317,308.9250114,7.32791813,2.3519366,1.2375221
2013-02-19,,8.956968522,6.2797418,1.7993088,,1.612787,,103.1753703,1.03997824,140.81885207,17.88838,308.8573919,7.33267053,2.348263,1.2374308
2013-02-20,,8.669845393,6.2814512,1.8005215,,1.61319,,102.3741819,1.02708307,140.28513437,17.884963,307.2931703,7.32658954,2.310478,1.237682
2013-02-21,,8.730882799,6.2831987,1.8050037,,1.616511,,102.0629546,1.02321017,140.28423635,17.871397,307.0421085,7.32688327,2.3026073,1.2380599
2013-02-22,,8.498629068,6.2848664,1.7966542,,1.612804,,102.8850517,1.02952383,140.81698876,17.843574,307.5118359,7.33401779,2.3112521,1.2385155
2013-02-25,,8.535973384,6.2865969,1.8050781,,1.619964,,103.0195412,1.03110776,140.96899502,17.863991,307.6703568,7.33698218,2.317734,1.2385359
2013-02-26,,8.705892837,6.2882565,1.8099383,,1.62397,,103.3412568,1.0300748,140.8162057,17.858641,308.0577388,7.33707593,2.3123277,1.2390363
2013-02-27,,8.800044582,6.2899789,1.8135141,,1.626228,,103.589895,1.03754857,141.07024214,17.893643,308.5639547,7.34185961,2.3235403,1.2393945
2013-02-28,,8.988900426,6.2917162,1.8161604,,1.626541,,104.4035751,1.04812207,142.33149019,17.899687,309.1669513,7.34797115,2.3458873,1.2397571
2013-03-01,,8.739773837,6.2934639,1.8237533,,1.631828,,104.2168975,1.04419907,142.25679841,17.903965,309.2554107,7.34574845,2.3401793,1.2401433
2013-03-04,,8.476446923,6.2949991,1.8257228,,1.634324,,104.0612343,1.04169315,142.4193178,17.917342,308.5024354,7.34736295,2.3280797,1.2406564
2013-03-05,,8.430940174,6.2967648,1.8332247,,1.641227,,103.9074851,1.04338096,142.67321258,17.925738,308.7887229,7.3484142,2.3266311,1.2409466
2013-03-06,,8.892070193,6.2984684,1.8339571,,1.642412,,105.2745791,1.05980138,143.53845162,17.947793,312.4698449,7.35589799,2.3836221,1.2415382
2013-03-07,,8.886786684,6.300236,1.828598,,1.638823,,105.1626915,1.05419555,143.20604004,17.974733,313.1191736,7.35341106,2.3896475,1.2419227
2013-03-08,,8.640033211,6.3021272,1.8249974,,1.63275,,105.2394896,1.05327452,143.72876214,17.991789,312.5278599,7.35789354,2.3908789,1.2420451
2013-03-11,,8.717607697,6.3041749,1.818684,,1.629832,,105.0822964,1.05673767,143.77647459,18.000816,312.8489629,7.35350165,2.4030518,1.2420024
2013-03-12,,8.627098249,6.3058521,1.8095094,,1.62213,,104.5618546,1.05096489,143.57516812,17.99064,311.5504161,7.3528373,2.39211,1.2425706
2013-03-13,,8.287077553,6.3076072,1.7982657,,1.611621,,104.0875554,1.04506321,143.3485191,17.982722,310.0594578,7.34914197,2.3739352,1.242794
2013-03-14,,8.319799477,6.3094638,1.8030826,,1.616341,,103.9912097,1.0460065,143.31318242,18.005284,310.7696799,7.3478201,2.3730148,1.2429028
2013-03-15,,8.255175878,6.3111425,1.8089743,,1.621788,,103.4219345,1.03942626,142.34518695,17.998754,310.8052675,7.34611478,2.3557635,1.2432823
2013-03-18,,8.32342927,6.3128717,1.8100156,,1.621993,,103.4941468,1.04045671,142.39764643,17.991427,310.8928322,7.34859256,2.370147,1.2437465
2013-03-19,,7.98104793,6.3145485,1.8125663,,1.625464,,103.1322152,1.03247198,142.00747756,17.960287,310.2438989,7.34752501,2.3429333,1.2440331
2013-03-20,,8.163331747,6.3163088,1.8072971,,1.619755,,102.3815196,1.03084265,141.37789677,17.981303,309.7167632,7.34582171,2.3373739,1.2444646
