DATA,BB RF LP Pre Irf-M Private Fc,BB Top RF Q FI de RF LP,BB Top DI RF Ref DI LP FI,Brasil Plural FI Energie RF,Bram H FI RF Mult IV,Portfolio Rv Multigestores Fc FIA,Tyton Acoes Master FIA - Bdr Nivel I,FICFI em Acoes Valor,BB Acoes Energia FI,Az Quest Master FIA,Mapfre Corporate Mult Prev Fc FI,Novus Capital Macro FICFI Mult Access,CSHG Verde Am Star Fc FI Mult,CSHG Verde Am Master FICFI Mult,Itau Mult Equity Hedge Fc
2013-01-02,361.830057,1.278719096,10.179440254,6.34601,472.1871325,1.59342349,1.1466286,104.7120822,6.402046,1.18970782,2.9941593,,17.5979812,26.3586294,407.859614
2013-01-03,362.019786,1.279078684,10.182272728,6.367532,472.3436086,1.59906569,1.1570842,105.1662827,6.353871,1.19155961,2.9955069,,17.5627854,26.3067288,407.499506
2013-01-04,361.703556,1.279386226,10.185117058,6.37351,472.4959682,1.5916575,1.1551586,104.7044983,6.211283,1.17953513,2.9969669,,17.5913052,26.3502679,407.923185
2013-01-07,361.881569,1.279730259,10.187913968,6.376631,472.5635689,1.58472301,1.1541862,104.1543681,6.062154,1.17271584,2.9979768,,17.5118938,26.2321126,408.032931
2013-01-08,361.259834,1.279986168,10.190688216,6.356746,472.7528592,1.57697411,1.1510116,103.569656,5.89944,1.1610001,2.9977751,,17.5043442,26.2214301,407.971193
2013-01-09,361.619979,1.280369892,10.193536657,6.378568,472.7397408,1.58629646,1.1542874,104.3608036,6.038312,1.17001237,2.9996524,,17.5763039,26.3318997,408.052282
2013-01-10,361.889208,1.280724958,10.196378081,6.395162,472.926792,1.58570126,1.1438478,104.1156491,6.073053,1.17012645,3.0012402,,17.5983985,26.3658357,407.951148
2013-01-11,362.131482,1.281086905,10.199266088,6.410601,473.1282013,1.58695773,1.1427147,104.1202475,6.081811,1.16367192,3.0018228,,17.6121142,26.387213,408.09403
2013-01-14,362.419477,1.281443103,10.202131218,6.418302,473.2986468,1.58747132,1.1420123,104.0110689,6.101122,1.17369738,3.0025616,,17.5623011,26.3133658,408.057689
2013-01-15,362.320141,1.281759509,10.205028706,6.42111,473.500235,1.58324229,1.1367836,103.4404818,6.099743,1.16518674,3.0025649,,17.6181417,26.3978921,408.306934
2013-01-16,362.235688,1.282178934,10.207867226,6.43053,473.6057979,1.58518286,1.143192,103.6883042,6.125598,1.16970424,3.0025893,,17.6646245,26.4683995,408.362046
2013-01-17,361.430852,1.28241815,10.210753191,6.407641,473.6463819,1.59377853,1.154498,104.4775635,6.194392,1.17597417,3.0040041,,17.7324431,26.5709033,408.576968
2013-01-18,361.385787,1.282753867,10.213614565,6.389703,473.6019377,1.59199888,1.1554253,104.2606672,6.217335,1.17201496,3.0043885,,17.7686069,26.6259544,408.830965
2013-01-21,361.934542,1.283116639,10.216506935,6.429454,473.7250305,1.59559938,1.1604017,104.4529436,6.276808,1.17660002,3.0052058,,17.7838223,26.6495985,408.973037
2013-01-22,361.619605,1.283442555,10.219333844,6.427497,474.0266345,1.589656,1.1632102,104.4227864,6.280534,1.1724567,3.0051494,,17.8195483,26.7040038,408.975079
2013-01-23,361.823234,1.283804855,10.222181877,6.445083,474.0213387,1.59672566,1.1618596,104.5325785,6.28655,1.1766124,3.0062191,,17.8048276,26.6827564,409.729438
2013-01-24,361.250912,1.284085311,10.225052345,6.405709,474.1745801,1.59359612,1.1532966,103.8217145,6.214114,1.17723053,3.0065517,,17.8326893,26.7253717,410.694449
2013-01-25,361.348629,1.284441291,10.227891977,6.409028,474.085145,1.5936765,1.1532966,103.8200913,6.213687,1.17723664,3.0047457,,17.8067615,26.6873069,410.789468
2013-01-28,361.278814,1.284758324,10.230752922,6.389196,474.2169804,1.58630109,1.1482174,103.186238,6.107244,1.16780738,3.0053186,,17.7509697,26.604438,411.134922
