,SPXI11<XBSP>,IVVB11<XBSP>,BOVA11<XBSP>,BOVV11<XBSP>,PIBB11<XBSP>,XBOV11<XBSP>,SMAL11<XBSP>,BRAX11<XBSP>,DIVO11<XBSP>,MATB11<XBSP>,FIND11<XBSP>,FIXA11<XBMF>,BBSD11<XBSP>,ISUS11<XBSP>,GOVE11<XBSP>,ECOO11<XBSP>,IMAB11<XBMF>,BOVB11<XBSP>,IRFM11<XBMF>,IB5M11<XBMF>
2019-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.63063,0.0,0.06717,0.0,0.0,0.25268,0.04951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.60851,0.0,0.06236,0.0,0.0,0.24615,0.08299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.70175,0.0,0.0,0.0,0.0,0.26214,0.03612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.67076,0.0,0.07365,0.0,0.0,0.25559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.68326,0.0,0.04017,0.0,0.0,0.2557,0.02088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15,0.00278,0.0,0.0,0.0,0.0,0.0,0.71387,0.0,0.02008,0.0,0.0,0.26236,0.00091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-16,0.03721,0.0,0.0,0.0,0.0,0.0,0.75729,0.0,0.0,0.0,0.0,0.2055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-17,0.11501,0.0,0.0,0.0,0.0,0.0,0.73098,0.0,0.04042,0.0,0.0,0.11359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-18,0.12832,0.0,0.0,0.0,0.0,0.0,0.78694,0.0,0.0,0.0,0.0,0.08474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-21,0.17501,0.02244,0.0,0.0,0.0,0.0,0.73094,0.0,0.06357,0.0,0.0,0.00803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22,0.18585,0.0,0.0,0.0,0.0,0.0,0.78487,0.0,0.0,0.0,0.0,0.02928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-23,0.13937,0.0,0.0,0.0,0.0,0.0,0.73503,0.0,0.0,0.0,0.0,0.02814,0.05423,0.0,0.0,0.04323,0.0,0.0,0.0,0.0
