,SPXI11<XBSP>,IVVB11<XBSP>,BOVA11<XBSP>,BOVV11<XBSP>,PIBB11<XBSP>,XBOV11<XBSP>,SMAL11<XBSP>,BRAX11<XBSP>,DIVO11<XBSP>,MATB11<XBSP>,FIND11<XBSP>,FIXA11<XBMF>,BBSD11<XBSP>,ISUS11<XBSP>,GOVE11<XBSP>,ECOO11<XBSP>,IMAB11<XBMF>,BOVB11<XBSP>,IRFM11<XBMF>,IB5M11<XBMF>
2019-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.25126,0.0,0.04237,0.0,0.0,0.67233,0.03404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.24081,0.0,0.04021,0.0,0.0,0.67037,0.04861,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.29057,0.0,0.0,0.0,0.0,0.67748,0.03195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.27038,0.0,0.04863,0.0,0.0,0.67474,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.27427,0.0,0.03073,0.0,0.0,0.67331,0.02169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15,0.04774,0.0,0.0,0.0,0.0,0.0,0.30427,0.0,0.02242,0.0,0.0,0.62111,0.00445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-16,0.06063,0.0,0.0,0.0,0.0,0.0,0.34337,0.0,0.0,0.0,0.0,0.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-17,0.09535,0.0,0.0,0.0,0.0,0.0,0.31961,0.0,0.03512,0.0,0.0,0.54992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-18,0.10294,0.0,0.0,0.0,0.0,0.0,0.36282,0.0,0.0,0.0,0.0,0.53425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-21,0.09431,0.04467,0.0,0.0,0.0,0.0,0.32459,0.0,0.04514,0.0,0.0,0.4913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22,0.129,0.0,0.0,0.0,0.0,0.0,0.36107,0.0,0.0,0.0,0.0,0.50931,0.00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-23,0.10675,0.0,0.0,0.0,0.0,0.0,0.33128,0.0,0.00463,0.0,0.0,0.50815,0.0389,0.0,0.0,0.01028,0.0,0.0,0.0,0.0
2019-10-24,0.07649,0.04049,0.0,0.0,0.0,0.0,0.32325,0.0,0.00399,0.0,0.0,0.49892,0.05686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-25,0.10229,0.01788,0.0,0.0,0.0,0.0,0.31342,0.0,0.01997,0.0,0.02213,0.49549,0.02881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-28,0.11255,0.009,0.0,0.0,0.0,0.0,0.22603,0.0,0.08992,0.0,0.04348,0.4825,0.03652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-29,0.09566,0.05325,0.0,0.0,0.0,0.0,0.26247,0.0,0.09247,0.0,0.03151,0.46464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-30,0.12501,0.02764,0.0,0.0,0.0,0.0,0.26923,0.0,0.08384,0.0,0.02008,0.45998,0.01421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-31,0.17748,0.00142,0.0,0.0,0.0,0.0,0.29104,0.0,0.0708,0.0,0.00937,0.43669,0.0132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,0.18218,0.0,0.0,0.0,0.0,0.0,0.27964,0.0,0.1032,0.0,0.0,0.43351,0.00146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-04,0.1986,0.03753,0.0,0.0,0.0,0.0,0.25835,0.0,0.06556,0.0,0.0,0.39188,0.04808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-05,0.1844,0.03131,0.0,0.0,0.0,0.0,0.30318,0.0,0.05073,0.0,0.00439,0.41567,0.01032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-06,0.1854,0.05279,0.0,0.0,0.0,0.0,0.29375,0.0,0.06404,0.0,0.0,0.3974,0.00663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-07,0.16327,0.06497,0.0,0.0,0.0,0.0,0.27937,0.0,0.09101,0.0,0.0,0.40107,0.00031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-08,0.24193,0.03392,0.0,0.0,0.0,0.0,0.27273,0.0,0.07139,0.0,0.0,0.37952,0.00051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-11,0.17692,0.08376,0.0,0.0,0.0,0.0,0.28172,0.0,0.07415,0.0,0.0,0.38346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-12,0.17844,0.08929,0.0,0.0,0.0,0.0,0.28289,0.0,0.06713,0.0,0.0,0.38225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-13,0.24694,0.0,0.0,0.0,0.0,0.0,0.27689,0.0,0.0844,0.0,0.0,0.39177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-14,0.1614,0.07304,0.0,0.0,0.0,0.0,0.34631,0.0,0.0161,0.0,0.0,0.40316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-18,0.12074,0.1465,0.0,0.0,0.0,0.0,0.33012,0.0,0.01715,0.0,0.0,0.38549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-19,0.20187,0.06466,0.0,0.0,0.0,0.0,0.34489,0.0,0.0,0.0,0.0,0.38858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-21,0.20099,0.04395,0.0,0.0,0.0,0.0,0.34488,0.0,0.01157,0.0,0.0,0.39861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
